,ANTONIO_NARINO,BARRIOS_UNIDOS,BOSA,CANDELARIA,CARCELES,CHAPINERO,CIUDAD_BOLIVAR,CORFERIAS,ENGATIVA,FONTIBON,KENNEDY,MARTIRES,PUENTE_ARANDA,RAFAEL_URIBE_URIBE,SAN_CRISTOBAL,SANTA_FE,SUBA,SUMAPAZ,TEUSAQUILLO,TUNJUELITO,USAQUEN,USME,Total Bogota
Gustavo Petro,21561,19041,116017,10493,346,14595,118040,25766,96544,41217,146360,14297,37361,69332,78389,21500,103163,994,21937,37204,34571,71227,1099955
Promotores Blanco,81,88,390,32,2,40,339,174,401,156,540,38,132,295,227,65,397,0,74,103,153,173,3900
Ivan Duque,19933,31154,57553,5346,127,37966,52252,23027,104102,46647,112442,16398,41956,37703,32949,11168,160250,166,31706,23581,114456,28862,989744
Humberto De la Calle,1767,3406,4272,953,15,4877,3743,1621,11122,4973,9779,1338,3891,3503,3333,1809,13900,44,5286,1973,9624,2172,93401
Jorge Trujillo,190,322,904,64,3,102,857,197,1599,382,1399,144,458,582,584,164,1295,2,137,393,378,540,10696
Sergio Fajardo,24645,38973,67123,6701,204,36914,52147,39184,165164,70681,154680,15377,56213,48179,45947,14118,195023,36,45629,29033,110844,27662,1244477
Viviane Morales,92,135,536,35,1,58,555,125,573,231,702,74,203,288,353,67,586,2,93,171,300,312,5492
German Vargas Lleras,3392,6450,7495,1425,17,7611,6722,2703,20689,9304,18384,3107,7845,6313,6170,2466,27211,28,8080,3791,19704,3777,172684
Blanco,1096,1410,4715,433,17,837,4386,1587,6597,2578,7478,776,2386,2911,3093,818,6712,14,1167,1629,2793,2434,55867
Nulos,453,372,3251,197,13,233,3680,608,2161,1154,3434,313,785,1813,2238,563,2438,10,219,931,795,2197,27858
No Marcados,20,33,205,16,2,24,275,26,122,56,220,26,65,116,130,39,206,3,20,56,80,145,1885
